Model,K,Precision@K,Recall@K,NDCG@K,MRR@K,Hit@K
TF-IDF,5,0.18286000000000002,0.0009152152152152152,0.38307465386218176,0.3296,0.5544
TF-IDF,10,0.17377,0.0017394394394394392,0.44193182250976987,0.3557181349206349,0.7496
Word2Vec,5,0.21807999999999997,0.0010914914914914914,0.4081232859246978,0.36182166666666665,0.5605
Word2Vec,10,0.20915,0.0020935935935935935,0.46385638817425523,0.3866154761904762,0.7461
SBERT,5,0.24506000000000003,0.0012265265265265263,0.45013236320077776,0.4004933333333333,0.6148
SBERT,10,0.23146,0.0023169169169169166,0.4976205468149125,0.42239750000000004,0.778
