Model,K,Precision@K,Recall@K,NDCG@K,MRR@K,Hit@K
TF-IDF,5,0.18274,0.0009146146146146145,0.3829506505609909,0.3298466666666667,0.5537
TF-IDF,10,0.17387000000000002,0.0017404404404404402,0.44220028509036347,0.3561296825396826,0.7502
Word2Vec,5,0.21946000000000004,0.0010983983983983983,0.40949607262468396,0.36176,0.5668
Word2Vec,10,0.2084,0.002086086086086086,0.46292718725178694,0.3855071428571428,0.745
SBERT,5,0.24498000000000003,0.0012261261261261262,0.45031020686022366,0.40087333333333336,0.6147
SBERT,10,0.23146999999999998,0.0023170170170170165,0.49779400956174175,0.4227872222222222,0.778
