Model,K,Precision@K,Recall@K,NDCG@K,MRR@K,Hit@K,Successful,Failed,Success_Rate
TF-IDF,5,0.005263157894736842,0.0016691976246033802,0.0039648070757773825,0.007017543859649122,0.02631578947368421,,,
TF-IDF,10,0.004511278195488721,0.002982475972379738,0.003899677122116484,0.009482038429406852,0.045112781954887216,,,
Word2Vec,5,0.005263157894736842,0.0016220061431774925,0.004834292886536788,0.010401002506265666,0.02631578947368421,,,
Word2Vec,10,0.0037593984962406013,0.0027829968552517963,0.0040761789691653345,0.011877909058360189,0.03759398496240601,,,
SBERT,5,0.009774436090225564,0.0033326160284021474,0.011184540836480997,0.02675438596491228,0.045112781954887216,,,
SBERT,10,0.007518796992481203,0.004681126834223313,0.009329798319210674,0.029385964912280703,0.06766917293233082,,,
LLM-SFT,5,0.3106719367588936,0.11327110525288539,0.31216618360654286,0.4468379446640315,0.6442687747035574,253.0,14.0,0.9511278195488722
LLM-SFT,10,0.2755656108597286,0.1771791303915175,0.29033601798979336,0.42992350786468436,0.6923076923076923,221.0,56.0,0.8308270676691729
