Model,K,Precision@K,Recall@K,NDCG@K,MRR@K,Hit@K,Successful,Failed,Success_Rate
TF-IDF,5,0.005263157894736842,0.0016691976246033802,0.0039648070757773825,0.007017543859649122,0.02631578947368421,,,
TF-IDF,10,0.004511278195488721,0.002982475972379738,0.003899677122116484,0.009482038429406852,0.045112781954887216,,,
Word2Vec,5,0.006015037593984962,0.0018431472311916455,0.005312440816310866,0.010902255639097745,0.03007518796992481,,,
Word2Vec,10,0.004511278195488721,0.003713895530511374,0.0047588665377064415,0.012781954887218047,0.045112781954887216,,,
SBERT,5,0.009774436090225564,0.0033326160284021474,0.011184540836480997,0.02675438596491228,0.045112781954887216,,,
SBERT,10,0.007518796992481203,0.004681126834223313,0.009329798319210674,0.029385964912280703,0.06766917293233082,,,
LLM-SFT,5,0.3471153846153846,0.12881863247948108,0.35715651061783665,0.4852564102564102,0.6394230769230769,208.0,59.0,0.7819548872180451
LLM-SFT,10,0.30503144654088044,0.201515741887532,0.3301502965644953,0.49013427173804525,0.6855345911949685,159.0,108.0,0.5977443609022557
