Model,K,Precision@K,Recall@K,NDCG@K,MRR@K,Hit@K
TF-IDF,5,0.005263157894736842,0.0016691976246033802,0.0039648070757773825,0.007017543859649122,0.02631578947368421
TF-IDF,10,0.004511278195488721,0.002982475972379738,0.003899677122116484,0.009482038429406852,0.045112781954887216
Word2Vec,5,0.006015037593984962,0.0018431472311916455,0.006165208215875061,0.014348370927318296,0.03007518796992481
Word2Vec,10,0.004135338345864661,0.0029620158312632537,0.004921446923231717,0.015773063611409475,0.041353383458646614
SBERT,5,0.009774436090225564,0.0033326160284021474,0.010547021653635856,0.024248120300751876,0.045112781954887216
SBERT,10,0.007518796992481203,0.004681126834223313,0.008916091991582702,0.026879699248120302,0.06766917293233082
LLM-SFT,5,0.3664429530201343,0.11284580731379894,0.37591920750926505,0.5026845637583894,0.6577181208053692
LLM-SFT,10,0.32045454545454544,0.20379148160103194,0.3381802450124876,0.4651515151515151,0.7045454545454546
